"","TI","SO","LeadAuthorFirst","LeadAuthorLast","LeadInitOnly","first.gender.manual","first.gender","first.gender.manual.method","EditorFirst","EditorLast","editor.gender.manual","FirstInst2","Editor.Institution"
"50","Measures of precision for dissimilarity-based multivariate analysis of ecological communities","ECOLOGY LETTERS","Marti","lajoie","no","female","female","","Jonathan","Chase","male","Massey University","University of Leipzig"
"51","A Multistate Toggle Switch Defines Fungal Cell Fates and Is Regulated by Synergistic Genetic Cues","PLOS GENETICS","Matthew","levey","no","male","male","","Alexander","Idnurm","male","Brown University","University of Melbourne"
"52","Top predators and habitat complexity alter an intraguild predation module in pond communities","JOURNAL OF ANIMAL ECOLOGY","Thomas","patrick","no","male","male","","Eoin","O'Gorman","male","University of Missouri","Imperial College London"
"53","Non-additive effects of intra- and interspecific competition between two larval salamanders","JOURNAL OF ANIMAL ECOLOGY","Thomas","pintor","no","male","male","","Blaine","Griffen","male","University of Missouri","University of South Carolina"
"54","An analysis of methodological and spatial differences in global cropping systems models and maps","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Weston","reck","no","male","male","","Martin","Sykes","male","","Lund University"
"55","Articulating ""Archiannelids"": Phylogenomics and Annelid Relationships, with Emphasis on Meiofaunal Taxa","MOLECULAR BIOLOGY AND EVOLUTION","Sonia","stock","no","female","female","","Nicolas","Vidal","male","Harvard University","Museum National d'Histoire Naturelle"
"56","Can genetically based clines in plant defence explain greaterherbivory at higher latitudes?","ECOLOGY LETTERS","Daniel","taylor","no","either","either","","Ted","Turlings","either","University of Toronto","University of Neuchatel"
"57","Embryonic Stem Cell (ES)-Specific Enhancers Specify the Expression Potential of ES Genes in Cancer","PLOS GENETICS","Dvir","uno","no","either",NA,"allhebrewnames.com","Jennifer","Mitchell","female","Hebrew University of Jerusalem","University of Toronto"
"58","Heat Freezes Niche Evolution (vol 16, pg 1206, 2013)","ECOLOGY LETTERS","Miguel","vizentin-bugoni","no","male","male","","",NA,NA,"",""
"59","A shady business: pine afforestation alters the primary controls on litter decomposition along a precipitation gradient in Patagonia, Argentina","JOURNAL OF ECOLOGY","Patricia","wang","no","female","female","","Richard","Bardgett","male","University of Buenos Aires","University of Manchester"
"60","An approach to estimate short-term, long-term and reaction norm repeatability","METHODS IN ECOLOGY AND EVOLUTION","Yimen","xu","no",NA,NA,"","Robert","O'Hara","male","Max Planck Institute of Ornithology","Biodiversitat und Klima"
"61","Reciprocal Effects on Neurocognitive and Metabolic Phenotypes in Mouse Models of 16p11.2 Deletion and Duplication Syndromes","PLOS GENETICS","Thomas","vanderwel","no","male","male","","Gregory","Barsh","male","","Stanford University School of Medicine"
"62","Invasion status and phylogenetic relatedness predict cost of heterospecific pollen receipt: implications for native biodiversity decline","JOURNAL OF ECOLOGY","Gerardo","liao","no","male",NA,"babynames.com","Nicole","Rafferty","female","University of Pittsburgh","University of Arizona"
"63","CodABC: A Computational Framework to Coestimate Recombination, Substitution, and Molecular Adaptation Rates by Approximate Bayesian Computation","MOLECULAR BIOLOGY AND EVOLUTION","Miguel","dobson","no","male","male","","Sergei","Pond","male","Centro de Biologia Molecular Severo Ochoa","Temple University"
"64","Maximum-Likelihood Phylogenetic Inference with Selection on Protein Folding Stability","MOLECULAR BIOLOGY AND EVOLUTION","Miguel","filibeck","no","male","male","","Jeffrey","Thorne","male","Universidad Autónoma de Madrid","North Carolina State University"
"65","Options of partners improve carbon for phosphorus trade in the arbuscular mycorrhizal mutualism","ECOLOGY LETTERS","Alicia","heino","no","female","female","","Hafiz","Maherali","male","University of Zurich","University of Guelph"
"66","The RNAPII-CTD Maintains Genome Integrity through Inhibition of Retrotransposon Gene Expression and Transposition","PLOS GENETICS","Maria","herrero","no","female","female","","Lidia","Vasiljeva","female","University of British Columbia","University of Oxford"
"67","Species co-occurrence analysis: pairwise versus matrix-level approaches","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Hector","jucker","no","male","male","","Pedro","Peres-Neto","male","Universidad Nacional Autonoma de Mexico","Concordia University Montreal"
"68","Experimental evidence for a time-integrated effect of productivity on diversity","ECOLOGY LETTERS","David","karanovic","no","male","male","","Mark","Vellend","male","","Universite de Sherbrooke"
"69","Resource waves: phenological diversity enhances foraging opportunities for mobile consumers","ECOLOGY","Jonathan","karna","no","male","male","","Mark","Hebblewhite","male","University of Wyoming","University of Montana"
"70","Using ecophysiological traits to predict climatic and activity niches: lethal temperature and water loss in Mediterranean ants","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Xavier","lusk","no","male","male","","Alberto","Jimenez-Valverde","male","University Federal Pernambuco","Universidad de Alcala"
"71","Energetic constraint of non-monotonic mass change during offspring growth: a general hypothesis and application of a new tool","JOURNAL OF ANIMAL ECOLOGY","Jennifer","morrison","no","female","female","","Thierry","Boulinier","male","Penn State","CNRS"
"72","Metabarcoding and mitochondrial metagenomics of endogean arthropods to unveil the mesofauna of the soil","METHODS IN ECOLOGY AND EVOLUTION","Paula","orman","no","female","female","","Douglas","Yu","male","Natural History Museum","University of East Anglia "
"73","Disentangling the biogeography of ship biofouling: barnacles in the Northeast Pacific","GLOBAL ECOLOGY AND BIOGEOGRAPHY","G.","peoples","no",NA,NA,"","Marie-Josee","Fortin","female","","University of Toronto"
"74","Independent Neuronal Origin of Seizures and Behavioral Comorbidities in an Animal Model of a Severe Childhood Genetic Epileptic Encephalopathy","PLOS GENETICS","Samuel","peralta","no","male","male","","Gregory","Barsh","male","Jackson Lab","Stanford University School of Medicine"
"75","Testing the mechanisms of diversity-dependent overyielding in a grass species","ECOLOGY","Daniel","stevens","no","either","either","","Jonathan","Levine","male","Virginia Tech","University of California Santa Barbara"
"76","Flexibility in metabolic rate confers a growth advantage under changing food availability","JOURNAL OF ANIMAL ECOLOGY","Sonya","thi nhat quyen tran","no","female","female","","Daniel","Ardia","either","University of Glasgow","Franklin and Marshall University"
"77","Differentiating the Levy walk from a composite correlated random walk","METHODS IN ECOLOGY AND EVOLUTION","Marie","xi","no","female","female","","Luca","Borger","either","University of Alberta","Swansea University"
"78","The Interplay between Myc and CTP Synthase in Drosophila","PLOS GENETICS","Gabriel","caccia","no","either","either","","Kenneth","Moberg","male","University of Oxford","Emory University School of Medicine"
"79","Experimental evidence for fundamental, and not realized, niche partitioning in a plant-herbivore community interaction network","JOURNAL OF ANIMAL ECOLOGY","Willem","dong","no","male","male","","Peter","Hamback","male","University Stellenbosch","University of Stockholm"
"80","Whether in life or in death: fresh perspectives on how plants affect biogeochemical cycling","JOURNAL OF ECOLOGY","Amy","lind","no","female","female","","Richard","Bardgett","male","Consejo National Investment Center","University of Manchester"
"81","Ectomycorrhizal fungi slow soil carbon cycling","ECOLOGY LETTERS","Colin","plasse","no","male","male","","Richard","Bardgett","male","University of Texas","University of Manchester"
"82","Space-use behaviour of woodland caribou based on a cognitive movement model","JOURNAL OF ANIMAL ECOLOGY","Tal","stephens","no","either",NA,"babynames.com","Atle","Mysterud",NA,"University of Guelph","University of Oslo"
"83","Integrated step selection analysis: bridging the gap between resource selection and animal movement","METHODS IN ECOLOGY AND EVOLUTION","Tal","yudell","no","either",NA,"babynames.com","Luca","Borger","either","University of Alberta","Swansea University"
"84","Comparative performance of two whole-genome capture methodologies on ancient DNA Illumina libraries","METHODS IN ECOLOGY AND EVOLUTION","Maria","kuzu","no","female","female","","Michael","Bunce","male","Stanford University","Curtin University"
"85","Quercus suber dieback alters soil respiration and nutrient availability in Mediterranean forests","JOURNAL OF ECOLOGY","Jose","dahirel","no","male","male","","Matthew","Turnbull","male","Instituto de Recursos Naturales","University of Canterbury"
"86","Uncovering Hidden Layers of Cell Cycle Regulation through Integrative Multi-omic Analysis","PLOS GENETICS","Ranen","wang","no",NA,NA,"","Michael","Snyder","male","Tel Aviv University","Stanford University School of Medicine"
"87","Weighted Quartets Phylogenetics","SYSTEMATIC BIOLOGY","Eliran","buser","no","male",NA,"thinkbabynames.com","Tiffani","Williams","female","University of Haifa","Texas A&M University"
"88","Towards a unified descriptive theory for spatial ecology: predicting biodiversity patterns across spatial scales","METHODS IN ECOLOGY AND EVOLUTION","Sandro","liao","no","male","male","","David","Murrell","male","University of Leeds","University College London"
"89","RecG Directs DNA Synthesis during Double-Strand Break Repair","PLOS GENETICS","Benura","rupia","no",NA,NA,"","Justin","Courcelle","either","University of Edinburgh","Oregon State University"
"90","The advantage of the extremes: tree seedlings at intermediate abundance in a tropical forest have the highest richness of above-ground enemies and suffer the most damage","JOURNAL OF ECOLOGY","Benedicte","azeroglu","no","male",NA,"babynames.com","Martin","Heil","male","Columbia University","CINVESTAV-Irapuato"
"91","The Ciliopathy Protein CC2D2A Associates with NINL and Functions in RAB8-MICAL3-Regulated Vesicle Trafficking","PLOS GENETICS","Ruxandra","bardos","no",NA,NA,"","Susan","Dutcher","female","University of Zurich","Washington University School of Medicine"
"92","Genealogical Working Distributions for Bayesian Model Testing with Phylogenetic Uncertainty","SYSTEMATIC BIOLOGY","Guy","cipriotti","no","male","male","","Mark","Holder","male","University of Leuven","University of Kansas"
"93","Environmental heterogeneity has a weak effect on diversity during community assembly in tallgrass prairie","ECOLOGICAL MONOGRAPHS","Sara","godsoe","no","female","female","","Aimee","Classen","female","Southern Illinois University","University of Tennessee"
"94","Disentangling dispersal from phylogeny in the colonization capacity of forest understorey plants","JOURNAL OF ECOLOGY","Lander","gupta","no","male",NA,"babynames.com","James","Cahill","male","University of Ghent","University of Alberta"
"95","A method for analysing replicated point patterns in ecology","METHODS IN ECOLOGY AND EVOLUTION","Robert","lurgi","no","male","male","","David","Murrell","male","ETH Zurich","University College London"
"96","Differential responses of grasses and forbs led to marked reduction in below-ground productivity in temperate steppe following chronic N deposition","JOURNAL OF ECOLOGY","Wenming","muenkemueller","no",NA,NA,"","Rebecca","McCulley","female","Chinese Academy of Sciences","University of Kentucky"
"97","Do sunbirds use taste to decide how much to drink?","JOURNAL OF ANIMAL ECOLOGY","Ida","peris","no","female","female","","Simon","Verhulst","male","University of St. Andrews","University of Groningen"
"98","Tackling extremes: challenges for ecological and evolutionary research on extreme climatic events","JOURNAL OF ANIMAL ECOLOGY","Liam","rayfield","no","male","male","","Fanie","Pelletier",NA,"Australian National University","University of Sherbrooke"
"99","RClone: a package to identify MultiLocus Clonal Lineages and handle clonal data sets in r.","METHODS IN ECOLOGY AND EVOLUTION","Diane","tugrul","no","female","female","","Timothee","Poisot","male","","University of Canterbury"
"100","Microform-scale variations in peatland permeability and their ecohydrological implications","JOURNAL OF ECOLOGY","Andy","herrero","no","either","either","","John","Lee","male","University of Leeds","University of Sheffield"
"101","The Genome Sequence of Saccharomyces eubayanus and the Domestication of Lager-Brewing Yeasts","MOLECULAR BIOLOGY AND EVOLUTION","EmilyClare","del toro","no","female",NA,"first name alone","Jianzhi","Zhang",NA,"University of Wisconsin Madison","University of Michigan"
"102","Consistent, small effects of treefall disturbances on the composition and diversity of four Amazonian forests","JOURNAL OF ECOLOGY","Timothy","pringle","no","male","male","","Gerhard","Zotz","male","University of Leeds","University of Oldenburg"
"103","Y No second chances: demography from the forest floor to the canopy and back again","JOURNAL OF ECOLOGY","Maria","wu","no","female","female","","Lorena","Gomez-Aparicio","female","University of Utrecht","IRNAS-CSIC"
"104","A New Orthology Assessment Method for Phylogenomic Data: Unrooted Phylogenetic Orthology","MOLECULAR BIOLOGY AND EVOLUTION","Jesus","brown","no","male","male","","Xun","Gu",NA,"George Washington University","Iowa State University"
"105","Density- and trait-mediated effects of a parasite and a predator in a tri-trophic food web","JOURNAL OF ANIMAL ECOLOGY","Aabir","gunderson","no","male",NA,"http://quranicnames.com","Alison","Dunn","female","University of Zurich","University of Leeds"
"106","The role of global trade and transport network topology in the human-mediated dispersal of alien species","ECOLOGY LETTERS","Natalie","shefferson","no","female","female","","Montserrat","Vila","female","","Estacion Biologica de donana"
"107","The effect of intraspecific variation and heritability on community pattern and robustness","ECOLOGY LETTERS","Gyoergy","charruau","no","male",NA,"behindthename.com","David","Vasseur","male","University of Chicago","Yale University"
"108","So close and yet so far away: long-distance dispersal events govern bryophyte metacommunity reassembly","JOURNAL OF ECOLOGY","Marion","chen","no","either","either","","Peter","Vesk","male","University of Quebec Abitibi Temiscaming","University of Melbourne"
"109","Trophic cascades from wolves to grizzly bears or changing abundance of bears and alternate foods?","JOURNAL OF ANIMAL ECOLOGY","Shannon","chen","no","either","either","","John","Fryxell","male","USGS Northern Prairie Wildlife Research Center","University of Guelph"
"110","Root herbivory indirectly affects above- and below-ground community members and directly reduces plant performance","JOURNAL OF ECOLOGY","Nicholas","karakostis","no","male","male","","Matthew","Heard","male","Northern Illinois University","Centre for Ecology and Hydrology"
"111","Relating belowground microbial composition to the taxonomic, phylogenetic, and functional trait distributions of trees in a tropical forest","ECOLOGY LETTERS","Albert","mccluskey","no","male","male","","Brenda","Casper","female","University of Colorado","University of Pennsylvania"
"112","fuzzySim: applying fuzzy logic to binary similarity indices in ecology","METHODS IN ECOLOGY AND EVOLUTION","A.","thompson","no",NA,NA,"","Robert","O'Hara","male","","Biodiversitat und Klima"
"113","Valid auto-models for spatially autocorrelated occupancy and abundance data","METHODS IN ECOLOGY AND EVOLUTION","David","webb","no","male","male","","Justin","Travis","either","University of Melbourne","University of Aberdeen"
"114","The complex net effect of reciprocal interactions and recruitment facilitation maintains an intertidal kelp community","JOURNAL OF ECOLOGY","Allison","ohashi","no","female","female","","Christer","Nilsson","male","Oregon State University","Umea University"
"115","Marine reserves can enhance ecological resilience","ECOLOGY LETTERS","Lewis","grinath","no","male","male","","Peter","Mumby","male","University of California Davis","University of Queensland"
"116","Hybrid Dysfunction and Physiological Compensation in Gene Expression","MOLECULAR BIOLOGY AND EVOLUTION","Felipe","lihoreau","no","male","male","","John","Parsch","male","University of California San Diego","University of Munich"
"117","Partner diversity and identity impacts on plant productivity in Acacia-rhizobial interactions","JOURNAL OF ECOLOGY","Luke","lu","no","male","male","","Marcel","VanDerHeijden","male","","Agroscope Reckenholz-Tanikon Research Station"
"118","Biotic interactions mediate patterns of herbivore diversity in the Arctic","GLOBAL ECOLOGY AND BIOGEOGRAPHY","I.","pardikes","no",NA,NA,"","Brody","Sandel","male","University of Iceland","Santa Clara University"
"119","On the context-dependent scaling of consumer feeding rates","ECOLOGY LETTERS","Daniel","saul","no","either","either","","Greg","Grether","male","Queen's University Belfast","University of California Los Angeles"
"120","N-dimensional hypervolumes to study stability of complex ecosystems","ECOLOGY LETTERS","Ceres","sebastian-gonzalez","no","either",NA,"babynames.com","David","Bellwood","male","Universite Grenoble Alpes","James Cook University"
"121","The Language of Genetics In the Interviews of Jane Gitschier","PLOS GENETICS","Gregory","vazquez","no","male","male","","",NA,NA,"HudsonAlpha Institute of Biotechnology",""
"122","The Human Blood Metabolome-Transcriptome Interface","PLOS GENETICS","Joerg","mazel","no","male",NA,"pronouncenames","Michael","Inouye","male","Helmholtz Zentrum Munchen","University of Melbourne"
"123","Different habitats within a region contain evolutionary heritage from different epochs depending on the abiotic environment","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Igor","solow","no","male","male","","",NA,NA,"Academy of Sciences of the Czech Republic",""
"124","Drought tolerance as a driver of tropical forest assembly: resolving spatial signatures for multiple processes","ECOLOGY","M.","feller","no",NA,NA,"","Gordon","Fox","male","Chinese Academy of Sciences","University of South Florida"
"125","Foraging success under uncertainty: search tradeoffs and optimal space use","ECOLOGY LETTERS","Frederic","de carvalho","no","male","male","","Peter","Thrall","male","Centro de Estudios Avanzados de Blanes ","CSIRO Plant Industry"
"126","Measuring beta-diversity with species abundance data","JOURNAL OF ANIMAL ECOLOGY","Louise","ochoa-hueso","no","female","female","","Tim","Coulson","either","University of Leeds","University of Oxford"
"127","Multi-hierarchical macroecology at species and genetic levels to discern neutral and non-neutral processes","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Andres","zuppinger-dingley","no","male","male","","Jose","Diniz-Filho","male","University Santiago de Compostela","Universidade Federal de Goias"
"128","Comparing methods to separate components of beta diversity","METHODS IN ECOLOGY AND EVOLUTION","Andres","calders","no","male","male","","Matthew","Spencer","male","University Santiago de Compostela","University of Otago"
"129","Plastic response of fearful prey to the spatiotemporal dynamics of predator distribution","ECOLOGY","Mathieu","falster","no","male",NA,"sheknowns.com","Mark","Hebblewhite","male","Universite Laval","University of Montana"
"130","The effects of asymmetric competition on the life history of Trinidadian guppies","ECOLOGY LETTERS","Ronald","gonzalez","no","male","male","","Mikko","Heino","male","University of Oxford","University of Bergen"
"131","Population size-structure-dependent fitness and ecosystem consequences in Trinidadian guppies","JOURNAL OF ANIMAL ECOLOGY","Ronald","hagler","no","male","male","","Fanie","Pelletier",NA,"University of California Riverside","University of Sherbrooke"
"132","Experimentally derived likelihoods for light-based geolocation","METHODS IN ECOLOGY AND EVOLUTION","Marinelle","lavy","no",NA,NA,"","Holger","Schielzeth","male","","Friedrich Schiller University of Jena"
"133","No Accumulation of Transposable Elements in Asexual Arthropods","MOLECULAR BIOLOGY AND EVOLUTION","Jens","layeghifard","no","male","male","","Matthew","Hahn","male","University of Lausanne","Indiana University"
"134","Phase-dependent climate-predator interactions explain three decades of variation in neonatal caribou survival","JOURNAL OF ANIMAL ECOLOGY","Guillaume","rees","no","male","male","","Martijn","vanDePol","male","Trent University","Australian National University"
"135","Territoriality and home-range dynamics in meerkats, Suricata suricatta: a mechanistic modelling approach","JOURNAL OF ANIMAL ECOLOGY","Andrew","tomasovych","no","male","male","","Luca","Borger","either","University of Cambridge","Swansea University"
"136","Cophylogeny Reconstruction via an Approximate Bayesian Computation","SYSTEMATIC BIOLOGY","C.","troscianko","no",NA,NA,"","Michael","Charleston","male","","University of Tasmania"
